Phenotype	Q_GLOBAL	P_Value_x	P_Value_y	N_Total	N_Cases	N_Controls	Beta	OR	P_Valid	P_Source_x	OR_CI95	CI_Method	CI_Sided	CI_Valid	CI_LO_OR	CI_HI_OR	Used_Ridge	Final_Is_MLE	Used_Firth	Inference_Type	N_Total_Used	N_Cases_Used	N_Controls_Used	Model_Notes	Inversion	P_LRT_Overall	P_Overall_Valid	P_Source_y	P_Method	Sig_Global	CI_Valid_DISPLAY	CI_Method_DISPLAY	OR_CI95_DISPLAY	CI_LO_OR_DISPLAY	CI_HI_OR_DISPLAY
Spondylosis	0.3257839321	0.07470436922	0.07470436922	232979	45130	187849	-0.01901347058	0.9811661453	TRUE	lrt_mle	0.974,1.002	profile	two	TRUE	0.973621176	1.001851297	FALSE	TRUE	FALSE	mle	232979	45130	187849	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45974480-INV-29218	0.07470436922	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	profile	0.974,1.002	0.973621176	1.001851297
Eosinophilic_gastroenteritis_and_colitis		0.07492507493	0.07492507493	197643	1044	196599	-0.1016832226	0.9033156564	TRUE	score_boot_mle		profile_penalized	two	FALSE			TRUE	FALSE	TRUE	firth	197643	1044	196599	firth_refit;firth_refit;inference=firth;ci=profile_penalized	chr17-45974480-INV-29218		TRUE	score_boot_mle	score_boot_mle	FALSE	FALSE				
Anemia	0.3267914594	0.07622536498	0.07622536498	339435	74484	264951	-0.01456398165	0.9855415601	TRUE	lrt_mle	0.979,1.001	profile	two	TRUE	0.9794806234	1.001498446	FALSE	TRUE	FALSE	mle	339435	74484	264951	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45974480-INV-29218	0.07622536498	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	profile	0.979,1.001	0.9794806234	1.001498446
Disorders_of_calcium_metabolism	0.3267914594	0.0762390115	0.0762390115	206680	14189	192491	-0.03024838931	0.9702045152	TRUE	lrt_mle	0.957,1.003	profile	two	TRUE	0.9574278252	1.003109765	FALSE	TRUE	FALSE	mle	206680	14189	192491	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45974480-INV-29218	0.0762390115	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	profile	0.957,1.003	0.9574278252	1.003109765
Eye_infection_viral	0.3267914594	0.07646028497	0.07646028497	260905	3217	257688	0.05900142276	1.06077675	TRUE	lrt_mle	0.994,1.082	profile	two	TRUE	0.9938633925	1.081694055	FALSE	TRUE	FALSE	mle	260905	3217	257688	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45974480-INV-29218	0.07646028497	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	profile	0.994,1.082	0.9938633925	1.081694055
Disease_of_anus_and_rectum	0.3267914594	0.07660943175	0.07660943175	209921	13322	196599	-0.03026526631	0.9701881412	TRUE	lrt_mle	0.958,1.003	profile	two	TRUE	0.9575696391	1.003150234	FALSE	TRUE	FALSE	mle	209921	13322	196599	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45974480-INV-29218	0.07660943175	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	profile	0.958,1.003	0.9575696391	1.003150234
Alopecia	0.3267914594	0.0767630945	0.0767630945	243306	12845	230461	-0.03117813387	0.969302892	TRUE	lrt_mle	0.956,1.003	profile	two	TRUE	0.956179638	1.003262927	FALSE	TRUE	FALSE	mle	243306	12845	230461	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45974480-INV-29218	0.0767630945	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	profile	0.956,1.003	0.956179638	1.003262927
Diseases_of_hard_tissues_of_teeth	0.327478317	0.07799349045	0.07799349045	215466	18867	196599	-0.02733861003	0.9730317074	TRUE	lrt_mle	0.961,1.003	profile	two	TRUE	0.9609341579	1.002984572	FALSE	TRUE	FALSE	mle	215466	18867	196599	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45974480-INV-29218	0.07799349045	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	profile	0.961,1.003	0.9609341579	1.002984572
Diabetes_mellitus_due_to_underlying_condition	0.327478317	0.07802400333	0.07802400333	196740	4249	192491	-0.05622621042	0.9453252693	TRUE	lrt_mle	0.919,1.006	profile	two	TRUE	0.919471091	1.006131819	FALSE	TRUE	FALSE	mle	196740	4249	192491	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45974480-INV-29218	0.07802400333	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	profile	0.919,1.006	0.919471091	1.006131819
Functional_intestinal_disorder	0.327478317	0.07809771785	0.07809771785	214028	17429	196599	-0.02591752259	0.9744154536	TRUE	lrt_mle	0.964,1.003	profile	two	TRUE	0.9639301159	1.002834523	FALSE	TRUE	FALSE	mle	214028	17429	196599	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45974480-INV-29218	0.07809771785	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	profile	0.964,1.003	0.9639301159	1.002834523
Cystitis_and_urethritis	0.327478317	0.07872613785	0.07872613785	243566	22451	221115	-0.02385479759	0.9764274791	TRUE	lrt_mle	0.966,1.003	profile	two	TRUE	0.9663185197	1.002665185	FALSE	TRUE	FALSE	mle	243566	22451	221115	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45974480-INV-29218	0.07872613785	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	profile	0.966,1.003	0.9663185197	1.002665185
Cognitive_communication_deficit		0.07892107892	0.07892107892	215267	1082	214185	-0.1021582475	0.9028866608	TRUE	score_boot_mle		profile_penalized	two	FALSE			TRUE	FALSE	TRUE	firth	215267	1082	214185	firth_refit;firth_refit;inference=firth;ci=profile_penalized	chr17-45974480-INV-29218		TRUE	score_boot_mle	score_boot_mle	FALSE	FALSE				
Nausea_and_vomiting	0.327478317	0.07909959346	0.07909959346	259136	62537	196599	-0.01577926867	0.9843445718	TRUE	lrt_mle	0.978,1.002	profile	two	TRUE	0.9776483904	1.001785667	FALSE	TRUE	FALSE	mle	259136	62537	196599	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45974480-INV-29218	0.07909959346	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	profile	0.978,1.002	0.9776483904	1.001785667
Irritable_bowel_syndrome	0.327478317	0.07912227794	0.07912227794	212414	15815	196599	-0.02692938961	0.9734299734	TRUE	lrt_mle	0.962,1.003	profile	two	TRUE	0.9624539539	1.003042059	FALSE	TRUE	FALSE	mle	212414	15815	196599	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45974480-INV-29218	0.07912227794	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	profile	0.962,1.003	0.9624539539	1.003042059
Other_non_inflammatory_spondylopathy	0.3290138194	0.07986129621	0.07986129621	240554	52705	187849	-0.0176487232	0.9825061033	TRUE	lrt_mle	0.975,1.002	profile	two	TRUE	0.9751907443	1.002044354	FALSE	TRUE	FALSE	mle	240554	52705	187849	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45974480-INV-29218	0.07986129621	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	profile	0.975,1.002	0.9751907443	1.002044354
Complications_of_labor_and_delivery_NEC		0.07992007992	0.07992007992	361388	2509	358879	0.07041339884	1.072951647	TRUE	score_boot_mle		profile_penalized	two	FALSE			TRUE	FALSE	TRUE	firth	209589	2508	207081	sex_restricted_to_0;sex_majority_restricted_to_0;firth_refit;firth_refit;inference=firth;ci=profile_penalized	chr17-45974480-INV-29218		TRUE	score_boot_mle	score_boot_mle	FALSE	FALSE				
Vomiting	0.3305920163	0.08061416057	0.08061416057	240701	44102	196599	-0.01807783678	0.9820845871	TRUE	lrt_mle	0.974,1.002	profile	two	TRUE	0.9742101114	1.002141872	FALSE	TRUE	FALSE	mle	240701	44102	196599	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45974480-INV-29218	0.08061416057	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	profile	0.974,1.002	0.9742101114	1.002141872
Glaucoma	0.3320975337	0.08135275155	0.08135275155	267807	10119	257688	0.03585423535	1.03650475	TRUE	lrt_mle	0.996,1.051	profile	two	TRUE	0.995653462	1.051215546	FALSE	TRUE	FALSE	mle	267807	10119	257688	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45974480-INV-29218	0.08135275155	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	profile	0.996,1.051	0.995653462	1.051215546
Lymphadenitis	0.3388113382	0.08363127737	0.08363127737	267117	2166	264951	-0.07220184356	0.9303430931	TRUE	lrt_mle	0.896,1.009	profile	two	TRUE	0.8961475083	1.009274675	FALSE	TRUE	FALSE	mle	267117	2166	264951	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45974480-INV-29218	0.08363127737	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	profile	0.896,1.009	0.8961475083	1.009274675
Anaphylactic_reaction	0.3388113382	0.08375537555	0.08375537555	184490	1917	182573	-0.07680014066	0.9260749198	TRUE	lrt_mle	0.890,1.010	profile	two	TRUE	0.8895564403	1.009896015	FALSE	TRUE	FALSE	mle	184490	1917	182573	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45974480-INV-29218	0.08375537555	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	profile	0.890,1.010	0.8895564403	1.009896015
Puckering_of_macula	0.3402191164	0.08460416514	0.08460416514	263469	5781	257688	-0.04348704974	0.9574449532	TRUE	lrt_mle	0.938,1.006	profile	two	TRUE	0.9381498272	1.005741348	FALSE	TRUE	FALSE	mle	263469	5781	257688	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45974480-INV-29218	0.08460416514	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	profile	0.938,1.006	0.9381498272	1.005741348
Acute_Pharyngitis	0.3402191164	0.08486449995	0.08486449995	258369	48737	209632	-0.01666825699	0.9834698898	TRUE	lrt_mle	0.976,1.002	profile	two	TRUE	0.976156664	1.002221249	FALSE	TRUE	FALSE	mle	258369	48737	209632	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45974480-INV-29218	0.08486449995	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	profile	0.976,1.002	0.976156664	1.002221249
Open_angle_glaucoma	0.3428784726	0.08598698766	0.08598698766	263204	5516	257688	0.04711061679	1.048237955	TRUE	lrt_mle	0.994,1.068	profile	two	TRUE	0.9935280018	1.0679054	FALSE	TRUE	FALSE	mle	263204	5516	257688	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45974480-INV-29218	0.08598698766	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	profile	0.994,1.068	0.9935280018	1.0679054
Acute_respiratory_failure	0.3428784726	0.08638338231	0.08638338231	222462	12830	209632	0.03042020753	1.03088763	TRUE	lrt_mle	0.996,1.044	profile	two	TRUE	0.9957797658	1.044173506	FALSE	TRUE	FALSE	mle	222462	12830	209632	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45974480-INV-29218	0.08638338231	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	profile	0.996,1.044	0.9957797658	1.044173506
Disturbances_of_sensation_of_smell_and_taste	0.3428784726	0.08671333783	0.08671333783	218081	3896	214185	-0.05259585747	0.9487633706	TRUE	lrt_mle	0.924,1.007	profile	two	TRUE	0.924100952	1.007321082	FALSE	TRUE	FALSE	mle	218081	3896	214185	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45974480-INV-29218	0.08671333783	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	profile	0.924,1.007	0.924100952	1.007321082
Raynauds_syndrome	0.3428784726	0.08706198354	0.08706198354	214184	4352	209832	-0.04762474972	0.9534915179	TRUE	lrt_mle	0.932,1.007	profile	two	TRUE	0.9321018972	1.006681089	FALSE	TRUE	FALSE	mle	214184	4352	209832	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45974480-INV-29218	0.08706198354	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	profile	0.932,1.007	0.9321018972	1.006681089
Genetic_susceptibility_of_disease_NOS		0.08791208791	0.08791208791	366008	1626	364382	-0.07491931838	0.9278183412	TRUE	score_boot_mle		profile_penalized	two	FALSE			TRUE	FALSE	TRUE	firth	366008	1626	364382	firth_refit;firth_refit;inference=firth;ci=profile_penalized	chr17-45974480-INV-29218		TRUE	score_boot_mle	score_boot_mle	FALSE	FALSE				
Ptosis_of_eyelid	0.3458958228	0.08821504206	0.08821504206	262893	5205	257688	-0.04508062503	0.9559204076	TRUE	lrt_mle	0.935,1.007	profile	two	TRUE	0.9352002231	1.006507055	FALSE	TRUE	FALSE	mle	262893	5205	257688	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45974480-INV-29218	0.08821504206	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	profile	0.935,1.007	0.9352002231	1.006507055
Periodontitis	0.3466431026	0.08879336745	0.08879336745	202079	5480	196599	-0.046237707	0.954814969	TRUE	lrt_mle	0.932,1.007	profile	two	TRUE	0.9324081096	1.0067727	FALSE	TRUE	FALSE	mle	202079	5480	196599	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45974480-INV-29218	0.08879336745	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	profile	0.932,1.007	0.9324081096	1.0067727
Infection_of_the_eye	0.346782852	0.08927969412	0.08927969412	261003	3315	257688	0.05586270643	1.057452492	TRUE	lrt_mle	0.992,1.080	profile	two	TRUE	0.9916983859	1.079939535	FALSE	TRUE	FALSE	mle	261003	3315	257688	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45974480-INV-29218	0.08927969412	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	profile	0.992,1.080	0.9916983859	1.079939535
Conjunctivitis	0.346782852	0.08960496512	0.08960496512	282024	24336	257688	-0.02189446456	0.9783434795	TRUE	lrt_mle	0.968,1.003	profile	two	TRUE	0.968276551	1.003269273	FALSE	TRUE	FALSE	mle	282024	24336	257688	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45974480-INV-29218	0.08960496512	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	profile	0.968,1.003	0.968276551	1.003269273
Abnormal_findings_on_antenatal_screening_of_mother		0.08991008991	0.08991008991	360725	1846	358879	-0.07476229591	0.927964041	TRUE	score_boot_mle		profile_penalized	two	FALSE			TRUE	FALSE	TRUE	firth	208926	1845	207081	sex_restricted_to_0;sex_majority_restricted_to_0;firth_refit;firth_refit;inference=firth;ci=profile_penalized	chr17-45974480-INV-29218		TRUE	score_boot_mle	score_boot_mle	FALSE	FALSE				
Obstruction_of_bile_duct		0.08991008991	0.08991008991	198335	1736	196599	-0.08137343118	0.9218493799	TRUE	score_boot_mle		profile_penalized	two	FALSE			TRUE	FALSE	TRUE	firth	198335	1736	196599	firth_refit;firth_refit;inference=firth;ci=profile_penalized	chr17-45974480-INV-29218		TRUE	score_boot_mle	score_boot_mle	FALSE	FALSE				
Cystitis	0.3494243239	0.09067834804	0.09067834804	241897	20782	221115	-0.02375800781	0.9765219919	TRUE	lrt_mle	0.966,1.004	profile	two	TRUE	0.9655120288	1.003634771	FALSE	TRUE	FALSE	mle	241897	20782	221115	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45974480-INV-29218	0.09067834804	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	profile	0.966,1.004	0.9655120288	1.003634771
Lymphocytopenia		0.09090909091	0.09090909091	265972	1021	264951	-0.1012437036	0.903712768	TRUE	score_boot_mle		profile_penalized	two	FALSE			TRUE	FALSE	TRUE	firth	265972	1021	264951	firth_refit;firth_refit;inference=firth;ci=profile_penalized	chr17-45974480-INV-29218		TRUE	score_boot_mle	score_boot_mle	FALSE	FALSE				
Laryngitis_and_tracheitis	0.3530538739	0.09201515952	0.09201515952	215165	5533	209632	-0.04337594978	0.9575513312	TRUE	lrt_mle	0.937,1.007	profile	two	TRUE	0.9369762791	1.006816646	FALSE	TRUE	FALSE	mle	215165	5533	209632	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45974480-INV-29218	0.09201515952	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	profile	0.937,1.007	0.9369762791	1.006816646
Streptococcus_B_carrier		0.09290709291	0.09290709291	363606	4727	358879	0.05224329074	1.05363205	TRUE	score_boot_mle		profile_penalized	two	FALSE			TRUE	FALSE	TRUE	firth	211801	4720	207081	sex_restricted_to_0;sex_majority_restricted_to_0;firth_refit;firth_refit;inference=firth;ci=profile_penalized	chr17-45974480-INV-29218		TRUE	score_boot_mle	score_boot_mle	FALSE	FALSE				
Intervertebral_disc_disorder	0.3579695612	0.09369673079	0.09369673079	231721	43872	187849	-0.01781413811	0.9823435956	TRUE	lrt_mle	0.974,1.003	profile	two	TRUE	0.9741316149	1.002907224	FALSE	TRUE	FALSE	mle	231721	43872	187849	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45974480-INV-29218	0.09369673079	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	profile	0.974,1.003	0.9741316149	1.002907224
Myasthenia_gravis_and_other_myoneural_disorders		0.09390609391	0.09390609391	215622	1437	214185	-0.07701589079	0.9258751406	TRUE	score_boot_mle		profile_penalized	two	FALSE			TRUE	FALSE	TRUE	firth	215622	1437	214185	firth_refit;firth_refit;inference=firth;ci=profile_penalized	chr17-45974480-INV-29218		TRUE	score_boot_mle	score_boot_mle	FALSE	FALSE				
Other_disorders_of_nose_and_nasal_sinuses	0.3583182366	0.09479438159	0.09479438159	238457	28825	209632	-0.01995876673	0.9802390909	TRUE	lrt_mle	0.971,1.003	profile	two	TRUE	0.9709153294	1.00332642	FALSE	TRUE	FALSE	mle	238457	28825	209632	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45974480-INV-29218	0.09479438159	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	profile	0.971,1.003	0.9709153294	1.00332642
Muscle_wasting_and_atrophy	0.3583182366	0.09491322117	0.09491322117	190060	2211	187849	-0.06810953502	0.9341581449	TRUE	lrt_mle	0.900,1.011	profile	two	TRUE	0.8999811039	1.011350166	FALSE	TRUE	FALSE	mle	190060	2211	187849	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45974480-INV-29218	0.09491322117	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	profile	0.900,1.011	0.8999811039	1.011350166
Gastrointestinal_inflammation	0.3583182366	0.09499040501	0.09499040501	246508	49909	196599	-0.01625869923	0.98387276	TRUE	lrt_mle	0.976,1.003	profile	two	TRUE	0.9761812899	1.002723599	FALSE	TRUE	FALSE	mle	246508	49909	196599	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45974480-INV-29218	0.09499040501	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	profile	0.976,1.003	0.9761812899	1.002723599
Degenerative_disc_disease	0.3648036917	0.0973697599	0.0973697599	220598	32749	187849	-0.01983397276	0.9803614265	TRUE	lrt_mle	0.971,1.003	profile	two	TRUE	0.970958716	1.003477476	FALSE	TRUE	FALSE	mle	220598	32749	187849	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45974480-INV-29218	0.0973697599	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	profile	0.971,1.003	0.970958716	1.003477476
Varicose_veins_of_lower_extremities	0.3648036917	0.09752581914	0.09752581914	222508	12676	209832	-0.02911148856	0.9713081687	TRUE	lrt_mle	0.957,1.005	profile	two	TRUE	0.9572051768	1.005115092	FALSE	TRUE	FALSE	mle	222508	12676	209832	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45974480-INV-29218	0.09752581914	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	profile	0.957,1.005	0.9572051768	1.005115092
Disorders_of_testis	0.366397847	0.09904450257	0.09904450257	227815	6700	221115	-0.03983400291	0.9609489406	TRUE	lrt_mle	0.941,1.007	profile	two	TRUE	0.9410140629	1.007195027	FALSE	TRUE	FALSE	mle	102537	6680	95857	sex_restricted_to_1;sex_majority_restricted_to_1;ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45974480-INV-29218	0.09904450257	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	profile	0.941,1.007	0.9410140629	1.007195027
Systemic_inflammatory_response_syndrome	0.366397847	0.09982779166	0.09982779166	251235	3134	248101	0.05681307731	1.058457942	TRUE	lrt_mle	0.990,1.085	profile	two	TRUE	0.9895430205	1.084884646	FALSE	TRUE	FALSE	mle	251235	3134	248101	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45974480-INV-29218	0.09982779166	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	profile	0.990,1.085	0.9895430205	1.084884646
Headache	0.366397847	0.1000567359	0.1000567359	296258	82073	214185	-0.01325277243	0.9868346589	TRUE	lrt_mle	0.980,1.002	profile	two	TRUE	0.9802944761	1.002443396	FALSE	TRUE	FALSE	mle	296258	82073	214185	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45974480-INV-29218	0.1000567359	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	profile	0.980,1.002	0.9802944761	1.002443396
Diabetic_retinopathy	0.366397847	0.1000660971	0.1000660971	264544	6856	257688	0.04120249179	1.042063093	TRUE	lrt_mle	0.992,1.062	profile	two	TRUE	0.9923868058	1.062215226	FALSE	TRUE	FALSE	mle	264544	6856	257688	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45974480-INV-29218	0.1000660971	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	profile	0.992,1.062	0.9923868058	1.062215226
Drug_resistant_microorganisms	0.366397847	0.1006049351	0.1006049351	253407	5306	248101	0.04360979951	1.044574682	TRUE	lrt_mle	0.992,1.065	profile	two	TRUE	0.9918713761	1.065155231	FALSE	TRUE	FALSE	mle	253407	5306	248101	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45974480-INV-29218	0.1006049351	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	profile	0.992,1.065	0.9918713761	1.065155231
Psychoactive_substance_abuse	0.366397847	0.1006986781	0.1006986781	267053	27968	239085	-0.02135667834	0.9788697607	TRUE	lrt_mle	0.968,1.004	profile	two	TRUE	0.9677816408	1.003984165	FALSE	TRUE	FALSE	mle	267053	27968	239085	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45974480-INV-29218	0.1006986781	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	profile	0.968,1.004	0.9677816408	1.003984165
Agoraphobia		0.1008991009	0.1008991009	240262	1177	239085	-0.09496958802	0.9094005907	TRUE	score_boot_mle		profile_penalized	two	FALSE			TRUE	FALSE	TRUE	firth	240262	1177	239085	firth_refit;firth_refit;inference=firth;ci=profile_penalized	chr17-45974480-INV-29218		TRUE	score_boot_mle	score_boot_mle	FALSE	FALSE				
Generalized_osteoarthritis	0.366397847	0.101570424	0.101570424	194294	6445	187849	-0.04066347255	0.9601521932	TRUE	lrt_mle	0.940,1.008	profile	two	TRUE	0.9399568116	1.00767756	FALSE	TRUE	FALSE	mle	194294	6445	187849	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45974480-INV-29218	0.101570424	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	profile	0.940,1.008	0.9399568116	1.00767756
Astigmatism	0.366397847	0.1018214272	0.1018214272	280500	22812	257688	-0.02160875338	0.9786230431	TRUE	lrt_mle	0.968,1.004	profile	two	TRUE	0.967959491	1.00409972	FALSE	TRUE	FALSE	mle	280500	22812	257688	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45974480-INV-29218	0.1018214272	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	profile	0.968,1.004	0.967959491	1.00409972
Pure_hypercholesterolemia	0.366397847	0.1019341747	0.1019341747	237971	45480	192491	-0.01750795575	0.982644418	TRUE	lrt_mle	0.974,1.003	profile	two	TRUE	0.9741065836	1.003332029	FALSE	TRUE	FALSE	mle	237971	45480	192491	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45974480-INV-29218	0.1019341747	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	profile	0.974,1.003	0.9741065836	1.003332029
Idiopathic_sleep_related_nonobstructive_alveolar_hypoventilation	0.366397847	0.1020504071	0.1020504071	216203	2018	214185	0.06663491675	1.068905168	TRUE	lrt_mle	0.987,1.098	profile	two	TRUE	0.987279733	1.09799324	FALSE	TRUE	FALSE	mle	216203	2018	214185	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45974480-INV-29218	0.1020504071	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	profile	0.987,1.098	0.987279733	1.09799324
Gastrointestinal_hemorrhage	0.370125335	0.1035026105	0.1035026105	228014	31415	196599	-0.01921398601	0.980969426	TRUE	lrt_mle	0.971,1.004	profile	two	TRUE	0.9713237157	1.003753226	FALSE	TRUE	FALSE	mle	228014	31415	196599	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45974480-INV-29218	0.1035026105	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	profile	0.971,1.004	0.9713237157	1.003753226
Missed_abortion		0.1038961039	0.1038961039	361268	2389	358879	-0.06433873026	0.9376873227	TRUE	score_boot_mle		profile_penalized	two	FALSE			TRUE	FALSE	TRUE	firth	209467	2386	207081	sex_restricted_to_0;sex_majority_restricted_to_0;firth_refit;firth_refit;inference=firth;ci=profile_penalized	chr17-45974480-INV-29218		TRUE	score_boot_mle	score_boot_mle	FALSE	FALSE				
Cholesterolosis_of_gallbladder		0.1048951049	0.1048951049	198291	1692	196599	-0.07790756653	0.9250499282	TRUE	score_boot_mle		profile_penalized	two	FALSE			TRUE	FALSE	TRUE	firth	198291	1692	196599	firth_refit;firth_refit;inference=firth;ci=profile_penalized	chr17-45974480-INV-29218		TRUE	score_boot_mle	score_boot_mle	FALSE	FALSE				
Muscle_weakness_generalized	0.3738938593	0.1049746741	0.1049746741	196052	13479	182573	-0.02808557577	0.9723051575	TRUE	lrt_mle	0.958,1.006	profile	two	TRUE	0.9578898375	1.005617257	FALSE	TRUE	FALSE	mle	196052	13479	182573	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=profile	chr17-45974480-INV-29218	0.1049746741	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	profile	0.958,1.006	0.9578898375	1.005617257
Spotting_complicating_pregnancy		0.1068931069	0.1068931069	360638	1759	358879	-0.07816913188	0.9248079988	TRUE	score_boot_mle		profile_penalized	two	FALSE			TRUE	FALSE	TRUE	firth	208840	1759	207081	sex_restricted_to_0;sex_majority_restricted_to_0;firth_refit;firth_refit;inference=firth;ci=profile_penalized	chr17-45974480-INV-29218		TRUE	score_boot_mle	score_boot_mle	FALSE	FALSE				
